Deal Registration: Deal Registration Name,Deal Registration: Created Date,Opportunity Owner,Inside Sales Rep,Sales Territory,Account Name,Billing Country,Partner Account,Opportunity Type,Stage,Amount (converted),Close Date
DR-1530,11/04/2025,Lukas Brandt,,DACH,Account 330 GmbH,Switzerland,TD Synnex,Upsell,Expired,"EUR 107,000.00",2025-06-16
DR-1705,19 Jul 2025,Tom Whitfield,Priya Raman,UKI/Nordics,Account 105 Holdings,Denmark,Econocom,New Business,0 - Closed Lost,"EUR 181,000.00",2025-11-17
DR-2306,2026-04-04,Tom Whitfield,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 306 SpA,Norway,Computacenter,New Logo,0 - Closed Lost,"EUR 132,000.00",2026-09-19
DR-1493,05/04/2025,Tom Whitfield,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 293 AB,United Kingdom,SHI EMEA,New Business,Expired,"EUR 133,000.00",2025-06-29
DR-2665,2024-02-22,Lukas Brandt,Tobias Frank,DACH,Old Account 011,Germany,Cancom,New Business,7 - Closed Won,120000,2024-09-30
DR-1428,2025-03-14,Sofia Almeida,,EMEA - Southern Europe,Account 228 Holdings,Israel,Bechtle AG,Add-On,0 - Closed Lost,35000,2025-07-27
DR-1257,2024-12-11,Katharina Vogel,Tobias Frank,DACH,Account 057 SpA,Germany,SHI EMEA,New Business,7 - Closed Won,"EUR 84,000.00",2025-06-15
DR-2113,2026-01-10,Lukas Brandt,Tobias Frank,EMEA - Other,Account 113 Group,Germany,TD Synnex,New Logo,0 - Closed Lost,,2026-04-22
DR-2063,2026-01-10,Aoife Brennan,Priya Raman,UKI & Nordics,Account 063 GmbH,Ireland,Ingram Micro,New Logo,6 - Negotiation,176000,2026-04-03
DR-1095,2024-10-03,Tom Whitfield,Priya Raman,Nordics,Account 295 AB,Denmark,Softcat,New Business,0 - Closed Lost,"$106,000",2024-12-29
DR-1565,2025-05-27,Niamh O'Connor,Priya Raman,,Account 365 GmbH,Norway,Computacenter,Add-On,Rejected - Duplicate,74000,2025-11-15
DR-2116,2026-01-21,Lukas Brandt,Tobias Frank,dach pod,Account 116 GmbH,Germany,SHI EMEA,Upsell,0 - Closed Lost,,2026-04-06
DR-2273,2026-03-23,Lukas Brandt,,DACH,Account 273 Group,Switzerland,Econocom,Renewal,4 - Technical Validation,109000,2026-09-11
DR-1726,13 Jul 2025,Julien Marchand,Chiara Bruno,Iberia,Account 126 Ltd,France,Computacenter,Competitive Migration,6 - Negotiation,"$90,000",2026-01-24
DR-1585,2025-05-03,Marco Ferrari,,SEMEA,Account 385 SpA,Italy,SHI EMEA,Renewal,7 - Closed Won,121000,2025-11-18
DR-2047,11 Dec 2025,Katharina Vogel,Tobias Frank,DACH,Account 047 SAS,Austria,Cancom,New Logo,1 - Submitted,"$218,000",2026-06-04
DR-2160,2026-02-09,Marco Ferrari,Chiara Bruno,EMEA - Southern Europe,Account 160 Group,Portugal,Cancom,Existing Business - Renewal,3 - Discovery,,2026-05-20
DR-2493,04/06/2026,Julien Marchand,,Iberia,Account 093 AB,Israel,TD Synnex,Renewal,3 - Discovery,"EUR 235,000.00",2026-08-20
DR-2360,04 May 2026,Erik Lindqvist,,UKI & Nordics,Account 360 Group,United Kingdom,Northbridge Data,New Logo,2 - Approved,209000,2026-06-12
DR-2197,2026-03-15,Tom Whitfield,Priya Raman,Nordics,Account 197 Holdings,Denmark,Ingram Micro,Upsell,1 - Submitted,"EUR 102,000.00",2026-06-17
DR-2666,2024-05-26,Lukas Brandt,Tobias Frank,DACH,Old Account 012,Germany,Northbridge Data,New Business,7 - Closed Won,120000,2024-09-30
DR-1945,2025-10-06,Jonas Richter,Lena Wirth,EMEA - DACH - Enterprise,Account 345 Group,Switzerland,Northbridge Data,Renewal,Rejected - Duplicate,217000,2026-01-30
DR-1160,2024-11-09,Aoife Brennan,Priya Raman,UKI/Nordics,Account 360 Group,Norway,Northbridge Data,Existing Business - Renewal,7 - Closed Won,"$192,000",2025-05-19
DR-2426,10 May 2026,Katharina Vogel,Tobias Frank,dach pod,Account 026 Group,Switzerland,Bechtle AG,Existing Business - Renewal,6 - Negotiation,139000,2026-09-23
DR-2611,2026-08-18,Lukas Brandt,Tobias Frank,DACH,Account 211 SpA,Austria,Arrow ECS,Renewal,5 - Proposal,"EUR 25,000.00",2027-02-07
DR-1269,2025-01-20,Aoife Brennan,,UKI/Nordics,Account 069 SAS,Norway,Computacenter,Add-On,0 - Closed Lost,190000,2025-02-15
DR-2347,2026-04-16,Lukas Brandt,,DACH,Account 347 Holdings,Austria,Ingram Micro,Competitive Migration,0 - Closed Lost,196000,2026-10-01
DR-1711,13 Jul 2025,Sigrid Halvorsen,Priya Raman,UKI & Nordics,Account 111 SpA,Sweden,Econocom,Existing Business - Add-On,0 - Closed Lost,226000,2025-09-24
DR-2591,2026-08-13,Sofia Almeida,Chiara Bruno,EMEA - Southern Europe,Account 191 GmbH,Spain,Computacenter,Existing Business - Add-On,4 - Technical Validation,"$236,000",2027-01-11
DR-2349,2026-04-08,Katharina Vogel,Lena Wirth,DACH,Account 349 SAS,Germany,SHI EMEA,New Logo,2 - Approved,158000,2026-10-19
DR-1451,2025-03-09,Lukas Brandt,,EMEA - DACH - Enterprise,Account 251 GmbH,Switzerland,SHI EMEA,New Business,0 - Closed Lost,21000,2025-04-30
DR-1118,2024-10-18,Marco Ferrari,Paulo Neves,Southern Europe,Account 318 Holdings,Italy,Softcat,Renewal,,"EUR 230,000.00",2025-03-03
DR-2456,24/06/2026,Callum Reid,,UKI/Nordics,Account 056 SpA,Denmark,Ingram Micro,New Logo,5 - Proposal,60000,2026-08-12
DR-1259,2024-12-05,Stefan Huber,,dach pod,Account 059 SpA,Germany,Bechtle AG,Renewal,0 - Closed Lost,115000,2025-02-05
DR-2236,2026-03-20,Elena Castells,Chiara Bruno,SEMEA,Account 236 SAS,France,Bechtle AG,Renewal,7 - Closed Won,"EUR 63,000.00",2026-06-06
DR-2037,21 Dec 2025,Elena Castells,Chiara Bruno,Southern Europe,Account 037 GmbH,Greece,Northbridge Data,New Logo,0 - Closed Lost,36000,2026-04-01
DR-1145,2024-10-02,Nadia Keller,Lena Wirth,dach pod,Account 345 Ltd,Switzerland,Cancom,Renewal,7 - Closed Won,101000,2024-11-09
DR-2040,12 Dec 2025,Julien Marchand,Chiara Bruno,Southern Europe,Account 040 Ltd,France,TD Synnex,Existing Business - Renewal,6 - Negotiation,130000,2026-05-16
DR-2541,2026-07-18,Marco Ferrari,,EMEA - Southern Europe,Account 141 SAS,Portugal,Bechtle AG,New Logo,2 - Approved,"$80,000",2027-01-18
DR-2120,2026-02-08,Tom Whitfield,Mollie Shaw,Nordics,Account 120 GmbH,Ireland,TD Synnex,Existing Business - Renewal,1 - Submitted,"EUR 204,000.00",2026-04-04
DR-2274,2026-03-08,Stefan Huber,Tobias Frank,EMEA - DACH - Enterprise,Account 274 Ltd,Switzerland,Arrow ECS,Renewal,4 - Technical Validation,"$131,000",2026-06-11
DR-1644,2025-06-01,Sigrid Halvorsen,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 044 Ltd,United Kingdom,SHI EMEA,New Business,7 - Closed Won,,2025-07-27
DR-1182,2024-11-04,Julien Marchand,,SEMEA,Account 382 GmbH,France,Northbridge Data,New Business,Rejected - Duplicate,"$156,000",2024-12-26
DR-1128,2024-10-07,Marco Ferrari,Paulo Neves,SEMEA,Account 328 Ltd,Portugal,TD Synnex,New Business,7 - Closed Won,213000,2025-03-22
DR-2489,18/06/2026,Julien Marchand,Chiara Bruno,,Account 089 SpA,Israel,Northbridge Data,New Logo,1 - Submitted,"EUR 217,000.00",2026-12-27
DR-2395,02 May 2026,Marco Ferrari,,Iberia,Account 395 Group,Italy,Northbridge Data,Migration,0 - Closed Lost,193000,2026-10-03
DR-1801,2025-09-23,Aoife Brennan,,UKI/Nordics,Account 201 Group,Ireland,Arrow ECS,Existing Business - Renewal,0 - Closed Lost,40000,2026-02-17
DR-1625,2025-05-16,Lukas Brandt,Lena Wirth,dach pod,Account 025 GmbH,Austria,Ingram Micro,New Business,Expired,,2025-09-17
DR-1357,16 Feb 2025,Aoife Brennan,Dan Eriksen,,Account 157 SpA,Sweden,Ingram Micro,New Business,Rejected - Duplicate,"$145,000",2025-05-17
DR-1703,10 Jul 2025,Aoife Brennan,Mollie Shaw,Nordics,Account 103 SAS,Denmark,Cancom,New Business,7 - Closed Won,170000,2026-01-09
DR-2189,2026-02-09,Katharina Vogel,,EMEA - DACH - Enterprise,Account 189 AB,Switzerland,Computacenter,New Logo,3 - Discovery,"$219,000",2026-07-17
DR-1495,16/04/2025,Aoife Brennan,,EMEA - UKI & Nordics - Commercial,Account 295 SpA,Ireland,Computacenter,New Business,0 - Closed Lost,"$132,000",2025-06-06
DR-2371,06 May 2026,Tom Whitfield,,Nordics,Account 371 GmbH,United Kingdom,Northbridge Data,Renewal,5 - Proposal,"EUR 162,000.00",2026-11-11
DR-1117,2024-10-18,Elena Castells,,EMEA - Southern Europe,Account 317 Ltd,Italy,Arrow ECS,Upsell,0 - Closed Lost,"$63,000",2025-02-22
DR-1510,23/04/2025,Sofia Almeida,Paulo Neves,Iberia,Account 310 SpA,Greece,Econocom,Renewal,7 - Closed Won,,2025-06-25
DR-1255,2024-12-08,Lukas Brandt,Lena Wirth,EMEA - DACH - Enterprise,Account 055 AB,Austria,Ingram Micro,Add-On,0 - Closed Lost,"$236,000",2025-02-18
DR-1189,2024-11-07,Lukas Brandt,Lena Wirth,dach pod,Account 389 Ltd,Germany,Ingram Micro,New Business,7 - Closed Won,"EUR 192,000.00",2025-02-28
DR-1238,2024-12-08,Julien Marchand,Paulo Neves,SEMEA,Account 038 GmbH,Portugal,Arrow ECS,Existing Business - Renewal,7 - Closed Won,172000,2025-03-16
DR-2001,08/11/2025,Katharina Vogel,Tobias Frank,dach pod,Account 001 GmbH,Germany,Softcat,Upsell,0 - Closed Lost,"EUR 171,000.00",2026-04-15
DR-1951,15/11/2025,Erik Lindqvist,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 351 Group,Finland,Ingram Micro,Existing Business - Renewal,7 - Closed Won,"EUR 82,000.00",2026-05-17
DR-2430,02 May 2026,Lukas Brandt,Lena Wirth,DACH,Account 030 GmbH,Germany,TD Synnex,Renewal,4 - Technical Validation,26000,2026-10-27
DR-1838,2025-09-18,Yannis Papadakis,Chiara Bruno,EMEA - Southern Europe,Account 238 SAS,Greece,Softcat,Add-On,5 - Proposal,"$37,000",2026-03-07
DR-2208,2026-03-15,Sigrid Halvorsen,,,Account 208 AB,Denmark,Econocom,New Logo,,65000,2026-04-30
DR-2594,2026-08-24,Marco Ferrari,Chiara Bruno,EMEA - Other,Account 194 Ltd,Spain,Econocom,Add-On,1 - Submitted,121000,2027-01-22
DR-2501,09/06/2026,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 101 Group,Austria,Bechtle AG,New Logo,1 - Submitted,116000,2026-09-26
DR-2376,05 May 2026,Sigrid Halvorsen,,Nordics,Account 376 GmbH,Sweden,Computacenter,Upsell,4 - Technical Validation,240000,2026-10-14
DR-1766,2025-08-03,Tom Whitfield,Dan Eriksen,UKI & Nordics,Account 166 AB,Norway,Computacenter,New Business,5 - Proposal,226000,2025-12-21
DR-1315,2025-01-03,Lukas Brandt,Tobias Frank,dach pod,Account 115 SpA,Austria,Bechtle AG,New Business,0 - Closed Lost,147000,2025-03-16
DR-1776,2025-08-22,Julien Marchand,,SEMEA,Account 176 Holdings,Israel,Cancom,Renewal,Expired,226000,2025-12-13
DR-1995,17/11/2025,Katharina Vogel,,EMEA - DACH - Enterprise,Account 395 Holdings,Switzerland,SHI EMEA,Upsell,7 - Closed Won,"$79,000",2026-03-13
DR-2323,2026-04-11,Elena Castells,Chiara Bruno,EMEA - Southern Europe,Account 323 Ltd,France,Econocom,Existing Business - Renewal,,"$214,000",2026-05-21
DR-2100,2026-01-06,Katharina Vogel,Lena Wirth,dach pod,Account 100 Group,Switzerland,Econocom,New Logo,2 - Approved,"$77,000",2026-03-03
DR-1589,2025-05-06,Yannis Papadakis,,SEMEA,Account 389 SAS,Spain,Arrow ECS,New Business,Rejected - Duplicate,"EUR 166,000.00",2025-11-22
DR-2622,2026-03-10,Integration User,,Southern Europe,Queued Account 008,Germany,Softcat,New Business,1 - Submitted,,
DR-1633,2025-06-20,Sigrid Halvorsen,Priya Raman,UKI/Nordics,Account 033 Group,Sweden,Bechtle AG,New Business,0 - Closed Lost,69000,2026-01-04
DR-2551,2026-07-24,Julien Marchand,Chiara Bruno,Southern Europe,Account 151 Ltd,Greece,Computacenter,Existing Business - Renewal,3 - Discovery,"$11,000",2026-08-22
DR-1907,2025-10-25,Sofia Almeida,,Iberia,Account 307 Holdings,Portugal,Softcat,Renewal,0 - Closed Lost,,2026-02-15
DR-2314,2026-04-01,Julien Marchand,Chiara Bruno,SEMEA,Account 314 Ltd,Israel,Econocom,New Logo,5 - Proposal,"$106,000",2026-07-12
DR-1541,25/04/2025,Stefan Huber,Lena Wirth,EMEA - DACH - Enterprise,Account 341 Ltd,Germany,Bechtle AG,New Business,7 - Closed Won,"EUR 104,000.00",2025-08-27
DR-1198,2024-11-24,Lukas Brandt,Tobias Frank,,Account 398 SpA,Switzerland,Arrow ECS,New Business,0 - Closed Lost,76000,2025-01-24
DR-2569,2026-07-16,Lukas Brandt,,,Account 169 AB,Germany,Bechtle AG,New Logo,3 - Discovery,"$173,000",2026-12-15
DR-2664,2024-03-23,Lukas Brandt,Tobias Frank,DACH,Old Account 010,Germany,Computacenter,New Business,7 - Closed Won,120000,2024-09-30
DR-2020,27 Dec 2025,Callum Reid,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 020 Ltd,Norway,Arrow ECS,New Logo,4 - Technical Validation,11000,2026-01-22
DR-1580,2025-05-10,Aoife Brennan,Dan Eriksen,Nordics,Account 380 Group,Sweden,TD Synnex,New Business,0 - Closed Lost,"$78,000",2025-10-22
DR-2196,2026-03-01,Aoife Brennan,,Nordics,Account 196 Group,United Kingdom,Bechtle AG,Add-On,6 - Negotiation,107000,2026-07-15
DR-2375,19 May 2026,Callum Reid,,EMEA - Other,Account 375 Holdings,United Kingdom,Cancom,New Logo,2 - Approved,74000,2026-11-09
DR-1547,19/04/2025,Lukas Brandt,,DACH,Account 347 SpA,Switzerland,Softcat,Existing Business - Renewal,0 - Closed Lost,"$192,000",2025-09-14
DR-1957,02/11/2025,Callum Reid,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 357 SAS,Denmark,Computacenter,New Logo,0 - Closed Lost,82000,2026-02-08
DR-2263,2026-03-07,Lukas Brandt,Tobias Frank,dach pod,Account 263 Group,Switzerland,Computacenter,Renewal,7 - Closed Won,"EUR 46,000.00",2026-09-21
DR-1944,2025-10-28,Lukas Brandt,,DACH,Account 344 AB,Germany,Northbridge Data,New Business,0 - Closed Lost,,2026-01-13
DR-1746,18 Jul 2025,Stefan Huber,,DACH,Account 146 GmbH,Switzerland,Ingram Micro,Add-On,Rejected - Duplicate,"EUR 191,000.00",2026-01-01
DR-1695,2025-06-22,Nadia Keller,,dach pod,Account 095 Ltd,Austria,Ingram Micro,New Business,0 - Closed Lost,"EUR 230,000.00",2025-11-09
DR-1553,2025-05-23,Tom Whitfield,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 353 SAS,Norway,SHI EMEA,Add-On,Rejected - Duplicate,"$41,000",2025-10-24
DR-1549,2025-05-11,Callum Reid,,UKI/Nordics,Account 349 SAS,Denmark,Computacenter,New Business,7 - Closed Won,"$235,000",2025-09-12
DR-1912,2025-10-04,Yannis Papadakis,Paulo Neves,SEMEA,Account 312 AB,France,Softcat,New Business,7 - Closed Won,"EUR 217,000.00",2026-03-24
DR-1166,2024-11-11,Aoife Brennan,Dan Eriksen,Nordics,Account 366 SpA,Ireland,SHI EMEA,New Business,Expired,60000,2025-04-24
DR-1320,2025-01-11,Jonas Richter,,EMEA - DACH - Enterprise,Account 120 SAS,Switzerland,SHI EMEA,New Business,7 - Closed Won,"$194,000",2025-07-09
DR-1811,2025-09-10,Tom Whitfield,Mollie Shaw,UKI & Nordics,Account 211 SpA,Sweden,Cancom,Renewal,6 - Negotiation,"EUR 71,000.00",2025-11-07
DR-1823,2025-09-24,Sigrid Halvorsen,Priya Raman,UKI & Nordics,Account 223 Ltd,Sweden,TD Synnex,Renewal,7 - Closed Won,220000,2026-04-05
DR-1225,2024-12-07,Sigrid Halvorsen,Priya Raman,EMEA - UKI & Nordics - Commercial,Account 025 AB,Norway,Bechtle AG,Add-On,0 - Closed Lost,"$88,000",2025-01-14
DR-2147,2026-02-07,Callum Reid,,Nordics,Account 147 Holdings,Ireland,Econocom,Add-On,0 - Closed Lost,"EUR 173,000.00",2026-05-14
DR-1278,2025-01-05,Niamh O'Connor,Dan Eriksen,UKI/Nordics,Account 078 SAS,Norway,Arrow ECS,Upsell,0 - Closed Lost,"$168,000",2025-06-15
DR-2101,2026-01-08,Katharina Vogel,Tobias Frank,DACH,Account 101 SpA,Austria,Northbridge Data,Existing Business - Add-On,5 - Proposal,171000,2026-07-13
DR-1813,2025-09-07,Erik Lindqvist,Mollie Shaw,UKI/Nordics,Account 213 GmbH,United Kingdom,SHI EMEA,New Business,7 - Closed Won,"EUR 196,000.00",2026-01-21
DR-1174,2024-11-04,Sofia Almeida,Chiara Bruno,EMEA - Southern Europe,Account 374 SAS,Italy,Softcat,New Business,Rejected - Duplicate,43000,2025-02-03
DR-1022,12/09/2024,Sigrid Halvorsen,,UKI & Nordics,Account 222 Holdings,Finland,Computacenter,Existing Business - Renewal,Expired,29000,2024-11-01
DR-2227,2026-03-03,Sigrid Halvorsen,,,Account 227 GmbH,Sweden,Ingram Micro,Migration,2 - Approved,"$90,000",2026-08-26
DR-2105,2026-01-19,Katharina Vogel,Tobias Frank,EMEA - DACH - Enterprise,Account 105 GmbH,Switzerland,Bechtle AG,New Logo,3 - Discovery,93000,2026-03-23
DR-1292,2025-01-25,Elena Castells,,Southern Europe,Account 092 AB,France,Arrow ECS,New Business,Rejected - Duplicate,"$187,000",2025-04-25
DR-1482,22/04/2025,Callum Reid,Mollie Shaw,EMEA - UKI & Nordics - Commercial,Account 282 GmbH,Ireland,SHI EMEA,Renewal,0 - Closed Lost,"$235,000",2025-06-15
DR-2488,27/06/2026,Elena Castells,,Iberia,Account 088 Group,Italy,Arrow ECS,New Logo,4 - Technical Validation,,2026-09-16
DR-1329,2025-01-12,Lukas Brandt,Tobias Frank,dach pod,Account 129 Holdings,Switzerland,Econocom,New Business,Rejected - Duplicate,"EUR 109,000.00",2025-04-13
DR-1376,22 Feb 2025,Katharina Vogel,Lena Wirth,DACH,Account 176 AB,Germany,Ingram Micro,Add-On,Expired,,2025-05-10
DR-1250,2024-12-08,Jonas Richter,Tobias Frank,dach pod,Account 050 SpA,Austria,Northbridge Data,Existing Business - Add-On,0 - Closed Lost,"EUR 146,000.00",2025-02-03
DR-2129,2026-02-16,Callum Reid,,UKI & Nordics,Account 129 AB,Norway,TD Synnex,New Logo,2 - Approved,"EUR 225,000.00",2026-05-16
DR-2553,2026-07-18,Julien Marchand,,Southern Europe,Account 153 GmbH,Israel,TD Synnex,Existing Business - Renewal,3 - Discovery,"EUR 69,000.00",2027-01-10
DR-2049,18 Dec 2025,Katharina Vogel,Lena Wirth,,Account 049 Group,Germany,Softcat,Upsell,4 - Technical Validation,,2026-03-19
DR-2072,2026-01-16,Aoife Brennan,Priya Raman,Nordics,Account 072 SAS,Sweden,Bechtle AG,Upsell,Expired,173000,2026-04-09
DR-1584,2025-05-20,Sofia Almeida,Paulo Neves,Iberia,Account 384 AB,Israel,Computacenter,Existing Business - Add-On,0 - Closed Lost,"EUR 58,000.00",2025-10-03
DR-1615,2025-05-20,Lukas Brandt,Lena Wirth,,Account 015 SAS,Switzerland,Cancom,New Business,7 - Closed Won,"$222,000",2025-10-05
DR-2102,2026-01-01,Katharina Vogel,Lena Wirth,EMEA - DACH - Enterprise,Account 102 AB,Germany,Econocom,Renewal,1 - Submitted,219000,2026-05-12
DR-2046,04 Dec 2025,Yannis Papadakis,Chiara Bruno,SEMEA,Account 046 Ltd,Israel,Bechtle AG,Renewal,0 - Closed Lost,41000,2026-05-07
DR-2245,2026-03-22,Sofia Almeida,Paulo Neves,Iberia,Account 245 SpA,Italy,Softcat,Renewal,2 - Approved,85000,2026-07-04
DR-2604,2026-08-18,Katharina Vogel,,DACH,Account 204 SpA,Austria,SHI EMEA,New Logo,4 - Technical Validation,"EUR 198,000.00",2026-11-16
DR-1183,2024-11-20,Marco Ferrari,,Southern Europe,Account 383 Holdings,Portugal,Computacenter,New Business,7 - Closed Won,"EUR 183,000.00",2025-02-11
DR-1853,2025-09-02,Stefan Huber,Lena Wirth,DACH,Account 253 SAS,Switzerland,TD Synnex,New Business,0 - Closed Lost,"$221,000",2025-11-08
DR-1869,2025-09-21,Lukas Brandt,,DACH,Account 269 Group,Austria,Cancom,New Business,0 - Closed Lost,,2026-03-05
DR-1116,2024-10-07,Julien Marchand,,EMEA - Southern Europe,Account 316 Ltd,Israel,Arrow ECS,New Business,0 - Closed Lost,"$148,000",2024-12-31
DR-1504,27/04/2025,Marco Ferrari,,SEMEA,Account 304 GmbH,Italy,Computacenter,New Business,Rejected - Duplicate,220000,2025-08-12
DR-1347,19 Feb 2025,Sigrid Halvorsen,Mollie Shaw,UKI & Nordics,Account 147 Holdings,Denmark,Northbridge Data,Existing Business - Renewal,7 - Closed Won,210000,2025-05-29
DR-1534,24/04/2025,Lukas Brandt,Lena Wirth,DACH,Account 334 Holdings,Switzerland,Cancom,Add-On,7 - Closed Won,"EUR 102,000.00",2025-06-13
DR-1917,2025-10-20,Marco Ferrari,Chiara Bruno,EMEA - Southern Europe,Account 317 Holdings,Italy,Cancom,New Business,3 - Discovery,"$179,000",2025-11-25
DR-1712,08 Jul 2025,Niamh O'Connor,Dan Eriksen,UKI/Nordics,Account 112 Ltd,Sweden,SHI EMEA,New Business,0 - Closed Lost,,2025-11-05
DR-1051,22/09/2024,Julien Marchand,,Iberia,Account 251 SAS,Spain,Ingram Micro,New Business,Rejected - Duplicate,"$97,000",2025-03-07
DR-2312,2026-04-17,Elena Castells,Paulo Neves,Iberia,Account 312 SAS,Israel,Ingram Micro,New Logo,7 - Closed Won,"$191,000",2026-09-15
DR-1802,2025-09-12,Callum Reid,Dan Eriksen,EMEA - UKI & Nordics - Commercial,Account 202 GmbH,Denmark,TD Synnex,New Business,3 - Discovery,"$58,000",2025-11-26
DR-2361,17 May 2026,Callum Reid,Mollie Shaw,UKI/Nordics,Account 361 SpA,United Kingdom,Softcat,Upsell,1 - Submitted,23000,2026-09-11
DR-1314,2025-01-15,Lukas Brandt,Lena Wirth,DACH,Account 114 Ltd,Austria,Cancom,New Business,Expired,"EUR 140,000.00",2025-03-26
DR-1213,2024-11-18,Jonas Richter,Tobias Frank,dach pod,Account 013 Holdings,Switzerland,Computacenter,Renewal,4 - Technical Validation,82000,2025-05-10
DR-2676,2024-04-13,Lukas Brandt,Tobias Frank,DACH,Old Account 022,Germany,Computacenter,New Business,7 - Closed Won,120000,2024-09-30
DR-2505,04/06/2026,Lukas Brandt,Lena Wirth,dach pod,Account 105 Ltd,Austria,Arrow ECS,New Logo,3 - Discovery,"EUR 131,000.00",2026-07-23
DR-2351,2026-04-14,Lukas Brandt,Lena Wirth,DACH,Account 351 GmbH,Austria,TD Synnex,Existing Business - Renewal,Rejected - Duplicate,31000,2026-07-11
DR-2628,2026-08-28,Integration User,,Southern Europe,Queued Account 014,Germany,Econocom,New Business,1 - Submitted,,
DR-2091,2026-01-04,Elena Castells,Chiara Bruno,Southern Europe,Account 091 Ltd,Italy,Cancom,Add-On,6 - Negotiation,9000,2026-04-24
DR-1186,2024-11-19,Sofia Almeida,Chiara Bruno,SEMEA,Account 386 Group,France,Bechtle AG,Renewal,0 - Closed Lost,"EUR 133,000.00",2025-05-26
DR-1697,2025-06-26,Stefan Huber,,EMEA - DACH - Enterprise,Account 097 Group,Germany,TD Synnex,Renewal,7 - Closed Won,,2025-11-06
DR-2521,14/06/2026,Lukas Brandt,Tobias Frank,DACH,Account 121 GmbH,Austria,SHI EMEA,New Logo,6 - Negotiation,"$211,000",2026-11-11
DR-1443,2025-03-18,Marco Ferrari,Paulo Neves,EMEA - Southern Europe,Account 243 SpA,Greece,Northbridge Data,New Business,0 - Closed Lost,"EUR 110,000.00",2025-05-20
DR-1866,2025-09-16,Katharina Vogel,Tobias Frank,dach pod,Account 266 SpA,Switzerland,Econocom,Upsell,7 - Closed Won,16000,2026-01-04
DR-1093,2024-10-19,Niamh O'Connor,Priya Raman,Nordics,Account 293 Ltd,Ireland,Computacenter,Add-On,1 - Submitted,"EUR 169,000.00",2025-01-16
DR-2516,11/06/2026,Lukas Brandt,Tobias Frank,dach pod,Account 116 SpA,Germany,Bechtle AG,New Logo,2 - Approved,"$99,000",2026-09-11
DR-1068,05/09/2024,Lukas Brandt,Tobias Frank,dach pod,Account 268 Ltd,Switzerland,Cancom,Renewal,7 - Closed Won,"EUR 17,000.00",2025-03-06
DR-2194,2026-03-03,Callum Reid,,Nordics,Account 194 GmbH,Sweden,SHI EMEA,Existing Business - Renewal,,"EUR 106,000.00",2026-05-25
DR-1975,09/11/2025,Yannis Papadakis,Chiara Bruno,Iberia,Account 375 SAS,Spain,Econocom,Upsell,5 - Proposal,"$86,000",2026-04-27
DR-2018,04 Dec 2025,Erik Lindqvist,Priya Raman,UKI & Nordics,Account 018 AB,United Kingdom,TD Synnex,Existing Business - Add-On,7 - Closed Won,202000,2026-06-18
DR-1218,2024-12-22,Sigrid Halvorsen,Mollie Shaw,UKI/Nordics,Account 018 AB,Ireland,Computacenter,Add-On,1 - Submitted,"EUR 152,000.00",2025-06-14
DR-2449,14/06/2026,Aoife Brennan,Priya Raman,UKI/Nordics,Account 049 GmbH,Sweden,Northbridge Data,Add-On,Expired,109000,2026-11-03
DR-2424,17 May 2026,Lukas Brandt,Lena Wirth,DACH,Account 024 Holdings,Switzerland,Econocom,Add-On,5 - Proposal,96000,2026-08-12
DR-2364,03 May 2026,Callum Reid,Mollie Shaw,UKI & Nordics,Account 364 SpA,Sweden,Computacenter,New Logo,0 - Closed Lost,"EUR 82,000.00",2026-10-21
DR-2157,2026-02-20,Yannis Papadakis,Chiara Bruno,SEMEA,Account 157 Group,France,TD Synnex,Add-On,,"$9,000",2026-05-26
DR-2255,2026-03-19,Elena Castells,Paulo Neves,Southern Europe,Account 255 Holdings,Israel,SHI EMEA,Renewal,Rejected - Duplicate,"EUR 149,000.00",2026-06-18
DR-1409,2025-03-21,Niamh O'Connor,Priya Raman,Nordics,Account 209 Ltd,Finland,Northbridge Data,New Business,Rejected - Duplicate,"EUR 88,000.00",2025-09-23
DR-2404,26 May 2026,Elena Castells,Paulo Neves,SEMEA,Account 004 Group,Israel,Cancom,Renewal,2 - Approved,"EUR 9,000.00",2026-10-09
DR-1960,16/11/2025,Tom Whitfield,Mollie Shaw,UKI & Nordics,Account 360 GmbH,Ireland,SHI EMEA,Competitive Migration,Rejected - Duplicate,204000,2026-01-06
DR-2215,2026-03-27,Callum Reid,Priya Raman,Nordics,Account 215 Holdings,Norway,Econocom,Migration,5 - Proposal,,2026-05-13
DR-1955,16/11/2025,Aoife Brennan,Priya Raman,Nordics,Account 355 Group,Norway,TD Synnex,Upsell,6 - Negotiation,186000,2026-03-07
DR-2246,2026-03-26,Yannis Papadakis,Chiara Bruno,,Account 246 Group,Greece,Arrow ECS,New Logo,0 - Closed Lost,195000,2026-06-02
